Course No.,CRN,Course Title,CR.,Faculty,Days,From-To,Exam/Paper
LAWJ-448-08,(CRN #: 27692),Advanced Antitrust Economics and Law Seminar,3,"Shelanski, Howard / 
Popofsky, Mark S.",R,3:30-5:30,WR
LAWJ-1265-05,(CRN #: 27558),Advanced Constitutional Law Seminar: The Framing and Ratification of the Constitution,3,"Treanor, William / 
Mikhail, John",M,3:30-5:30,WR
LAWJ-168-07,(CRN #: 10373),Advanced Evidence: Supreme Court and the Constitution Seminar,3,"Rothstein, Paul F.",W,5:45-7:45,WR
LAWJ-381-05,(CRN #: 29424),Advanced Studies in Federal Securities Regulation: Policy and Practice,3,"Olson, John F.",T,3:30-5:30,WR
LAWJ-049-09,(CRN #: 33066),Appellate Courts and Advocacy Workshop,3,"Wolfman, Brian",T,9:00-11:00,WR
LAWJ-044-05,(CRN #: 19621),Appellate Practice Seminar,3,"Leider, Robert / Blatt, Lisa S.",T,3:30-5:30,WR
LAWJ-537-05,(CRN #: 10924),Applied Legal Composition,2,"DeLaurentis, Frances C.",M,11:10-12:05,WR
LAWJ-1329-08,(CRN #: 33452),"Art Law Seminar: Images, Objects, and Culture",3,"Bonneau, Sonya",R,1:20-3:20,WR
LAWJ-104-05,(CRN #: 33491),Behavioral Law and Economics Seminar,3,"Galle, Brian D.",R,1:20-3:20,WR
LAWJ-1175-05,(CRN #: 29488),Borders and Banishment Seminar,3,"McLeod, Allegra",R,1:20-3:20,WR
LAWJ-286-05,(CRN #: 10422),Church-State Law Seminar,3,"Chopko, Mark / 
Hollman, K. Hollyn",W,9:00-11:00,WR
LAWJ-531-05,(CRN #: 33455),Civic Engagement and Economic Development Seminar (formerly Social Entrepreneurship & Economic Development Law Seminar),3,"Cook, Anthony E.",T,1:20-3:20,WR
LAWJ-2030-11,(CRN #: 29476),"Comparative Reproductive Technologies and ""Reproductive Tourism""",3,"Crockin, Susan",T,11:10-1:10,WR
LAWJ-1121-05,(CRN #: 31256),Congressional Procedure and Statutory Interpretation Seminar,3,"Nourse, Victoria",W,1:20-3:20,WR
LAWJ-1067-05,(CRN #: 31211),English Legal History Seminar: Foundations of American Law,3,"Oldham, James",T,1:20-3:20,WR
LAWJ-1277-08,(CRN #: 27709),Environmental Dispute Resolution Seminar,3,"Colangelo, Sara A.",M,1:20-3:20,WR
LAWJ-722-05,(CRN #: 10612),Federal Limitations on State and Local Taxation,3,"Tatarowicz, Philip M. / Capino, Richard A.",W,5:45-7:45,WR
LAWJ-175-07,(CRN #: 33432),Federalism Seminar,3,"Klein, Alisa B. / 
Stern, Mark B.",W,5:45-7:45,WR
LAWJ-1208-08,(CRN #: 31207),Food Law Seminar,3,"Heinzerling, Lisa",T,10:00-12:00,WR
LAWJ-311-05,(CRN #: 31311),Higher Education and the Law Seminar,3,"Lawrence, Frederick M.",M,5:45-7:45,WR
LAWJ-216-05,(CRN #: 29517),Historic Preservation Seminar,3,"Boasberg, Tersh",M,3:30-5:30,WR
LAWJ-1010-05,(CRN #: 21848),International Law in Domestic Courts Seminar,3,"Stewart, David P.",T,11:10-1:10,WR
LAWJ-1231-05,(CRN #: 33476),International Law Seminar:  Poverty Reduction and Accountability,3,"Weiss, Edith Brown / 
Abbott, Eduardo G.",M,1:20-3:20,WR
LAWJ-076-09,(CRN #: 32488),International Migration and Development,3,"Ferris, Elizabeth",T,3:30-6:00,WR
LAWJ-676-11,(CRN #: 10609),Investor-State Dispute Resolution Seminar,3,"Wallace, Don, Jr. / Bravin, Mark / Sabahi, Borzu",M,3:30-5:30,WR
LAWJ-063-08,(CRN #: 23911),Issues in Disarmament: Proliferation and Terrorism Seminar,3,"Koplow, David A.",T,10:00-12:00,WR
LAWJ-249-07,(CRN #: 10410),Jewish Law Seminar,3,"Cohn, Sherman / 
Fishman, Lyle / 
Lazar-Price, Daphne / 
Marciano, Simon",W,5:45-7:45,WR
LAWJ-1473-05,(CRN #: 33512),Judicial Review and the Administrative State,3,"Bernick, Evan D.",T,9:00-11:00,WR
LAWJ-1334-08,(CRN #: 29454),Justice and Accountability for International Atrocity Crimes: Bridging Theory and Practice Seminar,3,"Stromseth, Jane",R,1:20-3:20,WR
LAWJ-262-05,(CRN #: 31210),Labor Arbitration Seminar,3,"Oldham, James",W,11:10-1:10,WR
LAWJ-289-08,(CRN #: 33494),Law and Literature Seminar,3,"West, Robin L.",R,10:00-12:00,WR
LAWJ-1470-08,(CRN #: 33497),Law and Rhetoric Seminar,3,"Tiscione, Kristen K.",W,11:10-1:10,WR
LAWJ-297-06,(CRN #: 10426),Lawmaking and Statutory Interpretation Seminar,2,"Norton, Eleanor H.",M,3:30-5:30,WR
LAWJ-536-11,(CRN #: 29460),Legal Writing Seminar: Theory and Practice for Law Fellows,3,"Cedrone, Michael J.",R,9:00-11:00,WR
LAWJ-536-13,(CRN #: 29468),Legal Writing Seminar: Theory and Practice for Law Fellows,3,"Carroll, Erin",R,11:10-1:10,WR
LAWJ-536-14,(CRN #: 29470),Legal Writing Seminar: Theory and Practice for Law Fellows,3,"Donahoe, Diana R.",T,3:30-5:30,WR
LAWJ-536-15,(CRN #: 29474),Legal Writing Seminar: Theory and Practice for Law Fellows,3,"DeLaurentis, Frances C.",W,11:10-1:10,WR
LAWJ-536-17,(CRN #: 29473),Legal Writing Seminar: Theory and Practice for Law Fellows,3,"Shulman, Jeffrey I.",M,5:45-7:45,WR
LAWJ-536-22,(CRN #: 29464),Legal Writing Seminar: Theory and Practice for Law Fellows,3,"Wherry, Jessica",T,11:10-1:10,WR
LAWJ-536-23,(CRN #: 29469),Legal Writing Seminar: Theory and Practice for Law Fellows,3,"McMahon, Susan A.",R,11:10-1:10,WR
LAWJ-536-24,(CRN #: 29472),Legal Writing Seminar: Theory and Practice for Law Fellows,3,"Sirota, Rima",R,3:30-5:30,WR
LAWJ-536-25,(CRN #: 29475),Legal Writing Seminar: Theory and Practice for Law Fellows,3,"Reich, Jarrod",M,11:10-1:10,WR
LAWJ-275-08,(CRN #: 29501),"Medical Judgment, Morals, and Law Seminar (formerly Advanced Health Law Seminar: The Hippocratic Myth)",3,"Bloche, Gregg",W,11:10-1:10,WR
LAWJ-1151-05,(CRN #: 25867),National Security Lawyering Seminar,3,"DeRosa, Mary B.",M,3:30-5:30,WR
LAWJ-626-05,(CRN #: 31204),New Deal Legal History Seminar,3,"Ernst, Daniel R.",R,10:00-12:00,WR
LAWJ-1429-05,(CRN #: 31394),Patent Appeals at the Federal Circuit,3,"Gajarsa, Arthur J. / 
Gajarsa, Robert J. / 
Prost, Sharon",T,5:45-7:45,WR
LAWJ-1392-08,(CRN #: 31254),Securities Enforcement Seminar,3,"Velikonja, Urska",W,9:00-11:00,WR
LAWJ-1404-09,(CRN #: 31325),Social Justice and Taxation,3,"Layser, Michelle D.",W,11:10-1:10,WR
LAWJ-406-09,(CRN #: 10484),Space Law Seminar,3,"Mirmina, Steven A.",W,5:45-7:45,WR
LAWJ-415-07,(CRN #: 10488),Strategic Intelligence and Public Policy Seminar,3,"Zirkle, James W.",R,5:45-7:45,WR
LAWJ-1346-05,(CRN #: 29510),Supreme Court Practice Seminar,3,"Millett, Patricia A. / 
Robinson, Michael E.",W,9:00-11:00,WR
LAWJ-1276-05,(CRN #: 27586),Tax Law and Public Finance Workshop,3,"Faulhaber, Lilian / 
Grinberg, Itai",T,3:30-5:30,WR
LAWJ-1457-05,(CRN #: 33443),Technology Law and Policy Colloquium: Information Platforms,3,"Cohen, Julie E.",M,1:20-3:20,WR
LAWJ-1034-05,(CRN #: 23930),The Federal Role in Education Law Seminar,3,"Pasachoff, Eloise",T,3:30-5:30,WR
LAWJ-1454-05,(CRN #: 33426),Topics in LGBT Civil Rights Seminar,3,"Smith, Paul M. / 
Wolfson, Evan",T,3:30-5:30,WR
